cycle number	time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
1.000000000000000E+000	1.444498175260378E+000	1.0000186E+006	5.5539911E+002	8.1400220E+002	9.8542773E+002	-5.5694023E+001
1.000000000000000E+000	1.878478009166429E+000	7.9433269E+005	6.2566870E+002	7.6700781E+002	9.8982941E+002	-5.0794960E+001
1.000000000000000E+000	2.312495309830410E+000	6.3095681E+005	6.8410510E+002	7.8968719E+002	1.0447993E+003	-4.9097652E+001
1.000000000000000E+000	2.747494103823556E+000	5.0120622E+005	7.8714642E+002	8.4518726E+002	1.1549636E+003	-4.7036404E+001
1.000000000000000E+000	3.182490871142363E+000	3.9810347E+005	8.8248871E+002	9.1375604E+002	1.2703292E+003	-4.5997250E+001
1.000000000000000E+000	3.616480651748134E+000	3.1622997E+005	1.0087813E+003	1.0020010E+003	1.4218458E+003	-4.4806801E+001
1.000000000000000E+000	4.050493872346124E+000	2.5118766E+005	1.1456051E+003	1.0781853E+003	1.5731798E+003	-4.3263466E+001
1.000000000000000E+000	4.484477012971183E+000	1.9954350E+005	1.3016992E+003	1.1992705E+003	1.7699352E+003	-4.2654724E+001
1.000000000000000E+000	4.919493940280518E+000	1.5848613E+005	1.4446665E+003	1.3077341E+003	1.9486482E+003	-4.2151875E+001
1.000000000000000E+000	5.353482067555888E+000	1.2590930E+005	1.6462008E+003	1.4095730E+003	2.1672271E+003	-4.0572063E+001
1.000000000000000E+000	5.787492168223253E+000	1.0000371E+005	1.8604065E+003	1.5314653E+003	2.4096677E+003	-3.9460819E+001
1.000000000000000E+000	6.222476375551196E+000	7.9433273E+004	2.0247386E+003	1.6596006E+003	2.6179841E+003	-3.9340157E+001
1.000000000000000E+000	6.656494582799496E+000	6.3093824E+004	2.2583987E+003	1.7924438E+003	2.8832654E+003	-3.8438297E+001
1.000000000000000E+000	7.090493083436741E+000	5.0122477E+004	2.4450730E+003	1.9209808E+003	3.1094292E+003	-3.8155083E+001
1.000000000000000E+000	7.525477770745056E+000	3.9814059E+004	2.6823003E+003	2.1208245E+003	3.4194490E+003	-3.8332497E+001
