time/s	cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
1.637488317763200E+000	1.000000000000000E+000	1.0000186E+006	6.0347748E+001	-9.2327499E+000	6.1049934E+001	8.6983728E+000
2.071475778386230E+000	1.000000000000000E+000	6.8129269E+005	5.4995293E+001	-7.5373626E+000	5.5509403E+001	7.8040342E+000
2.506491905689472E+000	1.000000000000000E+000	4.6415716E+005	5.4315590E+001	-4.7241521E+000	5.4520645E+001	4.9708476E+000
2.940485739643918E+000	1.000000000000000E+000	3.1622997E+005	5.4064220E+001	-2.2124765E+000	5.4109470E+001	2.3434143E+000
3.374484186904738E+000	1.000000000000000E+000	2.1544686E+005	5.4035473E+001	-1.0546396E-002	5.4035473E+001	1.1182727E-002
3.809479060902959E+000	1.000000000000000E+000	1.4677664E+005	5.4394596E+001	2.0782154E+000	5.4434280E+001	-2.1879947E+000
4.243486201536143E+000	1.000000000000000E+000	1.0000371E+005	5.5041481E+001	4.1930437E+000	5.5200962E+001	-4.3563614E+000
4.678495315514738E+000	1.000000000000000E+000	6.8132047E+004	5.5996372E+001	6.1687241E+000	5.6335129E+001	-6.2865214E+000
5.112486962781986E+000	1.000000000000000E+000	4.6420355E+004	5.7188671E+001	8.5936832E+000	5.7830750E+001	-8.5458374E+000
5.546490076725604E+000	1.000000000000000E+000	3.1621139E+004	5.8728687E+001	1.1495334E+001	5.9843140E+001	-1.1074842E+001
5.980494684044970E+000	1.000000000000000E+000	2.1544684E+004	6.0713436E+001	1.5174474E+001	6.2581036E+001	-1.4032793E+001
6.414490224648034E+000	1.000000000000000E+000	1.4678594E+004	6.3136139E+001	1.9758532E+001	6.6155663E+001	-1.7377573E+001
6.848482005269034E+000	1.000000000000000E+000	1.0002226E+004	6.6231102E+001	2.5558949E+001	7.0991684E+001	-2.1101877E+001
7.225489383185050E+000	1.000000000000000E+000	6.8110674E+003	7.0049149E+001	3.2953266E+001	7.7413185E+001	-2.5193731E+001
7.695694578884286E+000	1.000000000000000E+000	4.6414854E+003	7.4683266E+001	4.2777691E+001	8.6066956E+001	-2.9803572E+001
8.162673587728932E+000	1.000000000000000E+000	3.1610117E+003	7.9469109E+001	5.6076714E+001	9.7262207E+001	-3.5208389E+001
8.629680863246904E+000	1.000000000000000E+000	2.1556899E+003	8.4417068E+001	7.4552742E+001	1.1262483E+002	-4.1449261E+001
9.097942805470666E+000	1.000000000000000E+000	1.4685898E+003	9.0848167E+001	1.0128780E+002	1.3606105E+002	-4.8110088E+001
9.563668000941107E+000	1.000000000000000E+000	1.0003202E+003	9.7869644E+001	1.3958946E+002	1.7048074E+002	-5.4964745E+001
3.114352683777397E+002	2.000000000000000E+000	1.0000186E+006	5.2849514E+001	-9.0135107E+000	5.3612633E+001	9.6786985E+000
3.118692798383709E+002	2.000000000000000E+000	6.8129269E+005	4.9284325E+001	-8.2766275E+000	4.9974464E+001	9.5330868E+000
3.123032878056692E+002	2.000000000000000E+000	4.6415716E+005	4.8236725E+001	-4.8072648E+000	4.8475677E+001	5.6912966E+000
3.127372764395841E+002	2.000000000000000E+000	3.1622997E+005	4.8024178E+001	-2.3234227E+000	4.8080349E+001	2.7698255E+000
3.131712775535707E+002	2.000000000000000E+000	2.1544686E+005	4.8016548E+001	-1.8499726E-001	4.8016903E+001	2.2074702E-001
3.136052834941365E+002	2.000000000000000E+000	1.4677664E+005	4.8365608E+001	1.7562940E+000	4.8397488E+001	-2.0796602E+000
3.140392875947582E+002	2.000000000000000E+000	1.0000371E+005	4.8912830E+001	3.6038904E+000	4.9045418E+001	-4.2139306E+000
3.144742835354118E+002	2.000000000000000E+000	6.8132047E+004	4.9709091E+001	5.5800371E+000	5.0021301E+001	-6.4048595E+000
3.149082868093683E+002	2.000000000000000E+000	4.6420355E+004	5.0746887E+001	7.8323874E+000	5.1347763E+001	-8.7739258E+000
3.153422845366586E+002	2.000000000000000E+000	3.1621139E+004	5.2089596E+001	1.0430064E+001	5.3123558E+001	-1.1322777E+001
3.157762745305954E+002	2.000000000000000E+000	2.1544684E+004	5.3797649E+001	1.3777919E+001	5.5533936E+001	-1.4365054E+001
3.162102824978938E+002	2.000000000000000E+000	1.4678594E+004	5.5986599E+001	1.8075212E+001	5.8832069E+001	-1.7892618E+001
3.166442916384840E+002	2.000000000000000E+000	1.0002226E+004	5.8758297E+001	2.3507984E+001	6.3286354E+001	-2.1805330E+001
3.170223102431337E+002	2.000000000000000E+000	6.8110674E+003	6.2332432E+001	3.0401693E+001	6.9351242E+001	-2.6000101E+001
3.174924856521757E+002	2.000000000000000E+000	4.6414854E+003	6.6182259E+001	3.9858318E+001	7.7257858E+001	-3.1058489E+001
3.179594952476909E+002	2.000000000000000E+000	3.1610117E+003	7.0518562E+001	5.2647709E+001	8.8003685E+001	-3.6744263E+001
3.184264768698704E+002	2.000000000000000E+000	2.1556899E+003	7.5363838E+001	7.0477859E+001	1.0318351E+002	-4.3081196E+001
3.188957370254793E+002	2.000000000000000E+000	1.4685898E+003	8.0706467E+001	9.5798790E+001	1.2526349E+002	-4.9887268E+001
3.193614698209494E+002	2.000000000000000E+000	1.0003202E+003	8.7546837E+001	1.3201508E+002	1.5840590E+002	-5.6449337E+001
6.210730606168217E+002	3.000000000000000E+000	1.0000186E+006	4.8059792E+001	-9.7045441E+000	4.9029804E+001	1.1416026E+001
6.215070837841195E+002	3.000000000000000E+000	6.8129269E+005	4.4304127E+001	-8.1105547E+000	4.5040390E+001	1.0374007E+001
6.219410813513969E+002	3.000000000000000E+000	4.6415716E+005	4.4157753E+001	-4.8545790E+000	4.4423801E+001	6.2737422E+000
6.223760745720647E+002	3.000000000000000E+000	3.1622997E+005	4.4041378E+001	-2.3384442E+000	4.4103416E+001	3.0393529E+000
6.228110847526987E+002	3.000000000000000E+000	2.1544686E+005	4.4109825E+001	-2.6958331E-001	4.4110649E+001	3.5016674E-001
6.232460768533929E+002	3.000000000000000E+000	1.4677664E+005	4.4414902E+001	1.6009641E+000	4.4443745E+001	-2.0643699E+000
6.236800765806402E+002	3.000000000000000E+000	1.0000371E+005	4.4973671E+001	3.3770087E+000	4.5100281E+001	-4.2941995E+000
6.241140700946271E+002	3.000000000000000E+000	6.8132047E+004	4.5770695E+001	5.2503877E+000	4.6070847E+001	-6.5438356E+000
6.245490704085969E+002	3.000000000000000E+000	4.6420355E+004	4.6741253E+001	7.3039689E+000	4.7308483E+001	-8.8814354E+000
6.249840849092870E+002	3.000000000000000E+000	3.1621139E+004	4.7936447E+001	9.9209051E+000	4.8952297E+001	-1.1692830E+001
