time/s	cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
1.633499624236720E+000	1.000000000000000E+000	1.0000186E+006	8.7474327E+001	9.7405493E-001	8.7479752E+001	-6.3798064E-001
2.067495271534426E+000	1.000000000000000E+000	6.8129269E+005	8.3424004E+001	1.3286885E+000	8.3434586E+001	-9.1246885E-001
2.361496805475326E+000	1.000000000000000E+000	4.6415716E+005	8.4480370E+001	2.8154159E+000	8.4527267E+001	-1.9087484E+000
2.795485972746974E+000	1.000000000000000E+000	3.1622997E+005	8.5510902E+001	4.0837417E+000	8.5608360E+001	-2.7341955E+000
3.230475513410056E+000	1.000000000000000E+000	2.1544686E+005	8.6539894E+001	5.3848152E+000	8.6707260E+001	-3.5605538E+000
3.664499054051703E+000	1.000000000000000E+000	1.4677664E+005	8.7697929E+001	6.8224444E+000	8.7962906E+001	-4.4483552E+000
4.098495074635139E+000	1.000000000000000E+000	1.0000371E+005	8.9100578E+001	8.4830647E+000	8.9503494E+001	-5.4386082E+000
4.532494348561158E+000	1.000000000000000E+000	6.8132047E+004	9.0523735E+001	1.0516034E+001	9.1132507E+001	-6.6262808E+000
4.966484875854803E+000	1.000000000000000E+000	4.6420355E+004	9.2286049E+001	1.3098579E+001	9.3210983E+001	-8.0782928E+000
5.401484096510103E+000	1.000000000000000E+000	3.1621139E+004	9.4451324E+001	1.6604757E+001	9.5899796E+001	-9.9708395E+000
5.836478383833310E+000	1.000000000000000E+000	2.1544684E+004	9.6838463E+001	2.0987366E+001	9.9086617E+001	-1.2228343E+001
6.270484351116465E+000	1.000000000000000E+000	1.4678594E+004	9.9773064E+001	2.7081593E+001	1.0338316E+002	-1.5186015E+001
6.564484365080716E+000	1.000000000000000E+000	1.0002226E+004	1.0336227E+002	3.5337250E+001	1.0923589E+002	-1.8874411E+001
6.941515023034299E+000	1.000000000000000E+000	6.8110674E+003	1.0795077E+002	4.6705132E+001	1.1762116E+002	-2.3395826E+001
7.411711898726935E+000	1.000000000000000E+000	4.6414854E+003	1.1350317E+002	6.2106632E+001	1.2938394E+002	-2.8686583E+001
7.878671040904010E+000	1.000000000000000E+000	3.1610117E+003	1.2078940E+002	8.3518921E+001	1.4685193E+002	-3.4661629E+001
8.345703729755769E+000	1.000000000000000E+000	2.1556899E+003	1.3029497E+002	1.1215459E+002	1.7191693E+002	-4.0721031E+001
8.812940978590632E+000	1.000000000000000E+000	1.4685898E+003	1.4263947E+002	1.5179041E+002	2.0829388E+002	-4.6780190E+001
9.278670707404672E+000	1.000000000000000E+000	1.0003202E+003	1.5841060E+002	2.0677638E+002	2.6048108E+002	-5.2544415E+001
3.109872814764676E+002	2.000000000000000E+000	1.0000186E+006	7.3741127E+001	-4.0601712E-002	7.3741135E+001	3.1546935E-002
3.114212684571103E+002	2.000000000000000E+000	6.8129269E+005	7.0470596E+001	2.9377908E-001	7.0471207E+001	-2.3885427E-001
3.118552792776900E+002	2.000000000000000E+000	4.6415716E+005	7.1662117E+001	2.1025600E+000	7.1692955E+001	-1.6805708E+000
3.122892803649593E+002	2.000000000000000E+000	3.1622997E+005	7.2852364E+001	3.7105834E+000	7.2946800E+001	-2.9157214E+000
3.127242774523038E+002	2.000000000000000E+000	2.1544686E+005	7.3874390E+001	5.2045960E+000	7.4057503E+001	-4.0299416E+000
3.131582690462528E+002	2.000000000000000E+000	1.4677664E+005	7.5089722E+001	6.8202305E+000	7.5398819E+001	-5.1898065E+000
3.135922780535475E+002	2.000000000000000E+000	1.0000371E+005	7.6363014E+001	8.7340803E+000	7.6860878E+001	-6.5248961E+000
3.140262781807978E+002	2.000000000000000E+000	6.8132047E+004	7.7859711E+001	1.1066403E+001	7.8642227E+001	-8.0894156E+000
3.144602687347506E+002	2.000000000000000E+000	4.6420355E+004	7.9635880E+001	1.3941532E+001	8.0847015E+001	-9.9299126E+000
3.148942726753594E+002	2.000000000000000E+000	3.1621139E+004	8.1710854E+001	1.7901302E+001	8.3648788E+001	-1.2357189E+001
3.153292696560675E+002	2.000000000000000E+000	2.1544684E+004	8.4015701E+001	2.3162931E+001	8.7150215E+001	-1.5413406E+001
3.157632923699857E+002	2.000000000000000E+000	1.4678594E+004	8.6736649E+001	3.0392469E+001	9.1907280E+001	-1.9310431E+001
3.160572881973058E+002	2.000000000000000E+000	1.0002226E+004	9.0184654E+001	4.0460892E+001	9.8845108E+001	-2.4163151E+001
3.164343160551798E+002	2.000000000000000E+000	6.8110674E+003	9.4285805E+001	5.4517696E+001	1.0891277E+002	-3.0037249E+001
3.169044728509107E+002	2.000000000000000E+000	4.6414854E+003	9.9463501E+001	7.4024529E+001	1.2398637E+002	-3.6658028E+001
3.173714981264275E+002	2.000000000000000E+000	3.1610117E+003	1.0620381E+002	1.0140530E+002	1.4684102E+002	-4.3675945E+001
3.178384722552728E+002	2.000000000000000E+000	2.1556899E+003	1.1455697E+002	1.3915538E+002	1.8024295E+002	-5.0537743E+001
3.183067361174908E+002	2.000000000000000E+000	1.4685898E+003	1.2528806E+002	1.9241931E+002	2.2961334E+002	-5.6931046E+001
3.187724676329744E+002	2.000000000000000E+000	1.0003202E+003	1.3874762E+002	2.6805890E+002	3.0183850E+002	-6.2633858E+001
