time/s	cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
1.475484123366186E+000	1.000000000000000E+000	1.0000186E+006	1.8335205E+002	1.3723925E+001	1.8386496E+002	-4.2806139E+000
1.909476703993278E+000	1.000000000000000E+000	6.8129269E+005	1.6545114E+002	7.0347381E+000	1.6560063E+002	-2.4346654E+000
2.343492031301139E+000	1.000000000000000E+000	4.6415716E+005	1.6116557E+002	6.2319851E+000	1.6128601E+002	-2.2144225E+000
2.777493891917402E+000	1.000000000000000E+000	3.1622997E+005	1.5932292E+002	7.8945580E+000	1.5951839E+002	-2.8367245E+000
3.211494125862373E+000	1.000000000000000E+000	2.1544686E+005	1.5897906E+002	1.0757320E+001	1.5934259E+002	-3.8710191E+000
3.646490253187949E+000	1.000000000000000E+000	1.4677664E+005	1.5973587E+002	1.4971126E+001	1.6043591E+002	-5.3543630E+000
4.080480807140702E+000	1.000000000000000E+000	1.0000371E+005	1.6178572E+002	2.0558779E+001	1.6308673E+002	-7.2419968E+000
4.514482534403214E+000	1.000000000000000E+000	6.8132047E+004	1.6456270E+002	2.7174164E+001	1.6679124E+002	-9.3766098E+000
4.949480155046331E+000	1.000000000000000E+000	4.6420355E+004	1.6805096E+002	3.6249447E+001	1.7191611E+002	-1.2172488E+001
5.383491535700159E+000	1.000000000000000E+000	3.1621139E+004	1.7349715E+002	4.7502449E+001	1.7988258E+002	-1.5311981E+001
5.817488649598090E+000	1.000000000000000E+000	2.1544684E+004	1.7968446E+002	6.2888966E+001	1.9037209E+002	-1.9289877E+001
6.111493943579262E+000	1.000000000000000E+000	1.4678594E+004	1.8775829E+002	8.3855888E+001	2.0563313E+002	-2.4066311E+001
6.405490304197883E+000	1.000000000000000E+000	1.0002226E+004	1.9813341E+002	1.1199481E+002	2.2759544E+002	-2.9477283E+001
6.958516303828219E+000	1.000000000000000E+000	6.8110674E+003	2.1248505E+002	1.4994075E+002	2.6006177E+002	-3.5208828E+001
7.428690512868343E+000	1.000000000000000E+000	4.6414854E+003	2.3111241E+002	2.0181084E+002	3.0682333E+002	-4.1127949E+001
7.896694935094274E+000	1.000000000000000E+000	3.1610117E+003	2.5583316E+002	2.6943140E+002	3.7154257E+002	-4.6482964E+001
8.618672116055677E+000	1.000000000000000E+000	2.1556899E+003	2.8918030E+002	3.6243665E+002	4.6366537E+002	-5.1414394E+001
9.086933151615085E+000	1.000000000000000E+000	1.4685898E+003	3.2461215E+002	4.9259119E+002	5.8993146E+002	-5.6615559E+001
9.552668213749712E+000	1.000000000000000E+000	1.0003202E+003	3.7602509E+002	6.6476648E+002	7.6374689E+002	-6.0505333E+001
