time/s	cycle number	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	
1.633488264196785E+000	1.000000000000000E+000	1.0000186E+006	6.7856560E+001	-9.4310226E+000	6.8508812E+001	7.9125471E+000
2.067476978147170E+000	1.000000000000000E+000	6.8129269E+005	6.2212391E+001	-7.4453259E+000	6.2656319E+001	6.8244691E+000
2.501495852106018E+000	1.000000000000000E+000	4.6415716E+005	6.1796661E+001	-3.9485495E+000	6.1922680E+001	3.6559920E+000
2.936492352775531E+000	1.000000000000000E+000	3.1622997E+005	6.1647251E+001	-8.8426274E-001	6.1653591E+001	8.2178926E-001
3.370488960033981E+000	1.000000000000000E+000	2.1544686E+005	6.1880878E+001	2.0439696E+000	6.1914627E+001	-1.8918326E+000
3.805480980750872E+000	1.000000000000000E+000	1.4677664E+005	6.2468662E+001	4.8648400E+000	6.2657803E+001	-4.4530067E+000
4.239494201348862E+000	1.000000000000000E+000	1.0000371E+005	6.3339859E+001	7.9475093E+000	6.3836514E+001	-7.1517587E+000
4.674487448675791E+000	1.000000000000000E+000	6.8132047E+004	6.4437660E+001	1.1468483E+001	6.5450272E+001	-1.0091716E+001
5.109484429325676E+000	1.000000000000000E+000	4.6420355E+004	6.5813965E+001	1.5787134E+001	6.7680954E+001	-1.3488969E+001
5.544478689989774E+000	1.000000000000000E+000	3.1621139E+004	6.7416718E+001	2.1640301E+001	7.0804779E+001	-1.7796272E+001
5.978497670585057E+000	1.000000000000000E+000	2.1544684E+004	6.9270935E+001	2.9692286E+001	7.5366402E+001	-2.3201902E+001
6.412489504524274E+000	1.000000000000000E+000	1.4678594E+004	7.1362343E+001	4.1098419E+001	8.2350861E+001	-2.9938150E+001
6.706486531853443E+000	1.000000000000000E+000	1.0002226E+004	7.4027336E+001	5.7220303E+001	9.3563934E+001	-3.7702652E+001
7.084505509788869E+000	1.000000000000000E+000	6.8110674E+003	7.7517998E+001	8.0485023E+001	1.1174471E+002	-4.6075790E+001
7.554680305518559E+000	1.000000000000000E+000	4.6414854E+003	8.2257774E+001	1.1376159E+002	1.4038533E+002	-5.4130375E+001
8.021709767701395E+000	1.000000000000000E+000	3.1610117E+003	8.8747208E+001	1.6113658E+002	1.8395941E+002	-6.1155888E+001
8.489667283261952E+000	1.000000000000000E+000	2.1556899E+003	9.8940254E+001	2.2850052E+002	2.4900133E+002	-6.6587486E+001
9.211955610895529E+000	1.000000000000000E+000	1.4685898E+003	1.1335039E+002	3.2281616E+002	3.4213824E+002	-7.0652306E+001
9.677691979690280E+000	1.000000000000000E+000	1.0003202E+003	1.3333801E+002	4.5627246E+002	4.7535626E+002	-7.3709877E+001
3.115462772630563E+002	2.000000000000000E+000	1.0000186E+006	6.4236084E+001	-1.0027291E+001	6.5014008E+001	8.8723030E+000
3.119802705903130E+002	2.000000000000000E+000	6.8129269E+005	5.9237854E+001	-7.5510159E+000	5.9717178E+001	7.2642851E+000
3.124142867976043E+002	2.000000000000000E+000	4.6415716E+005	5.8866341E+001	-4.1586351E+000	5.9013054E+001	4.0409689E+000
3.128492836182413E+002	2.000000000000000E+000	3.1622997E+005	5.8790962E+001	-1.1014938E+000	5.8801281E+001	1.0733548E+000
3.132832814522262E+002	2.000000000000000E+000	2.1544686E+005	5.8977928E+001	1.7671738E+000	5.9004398E+001	-1.7162575E+000
3.137172728861624E+002	2.000000000000000E+000	1.4677664E+005	5.9520222E+001	4.6064038E+000	5.9698204E+001	-4.4254279E+000
3.141512918400986E+002	2.000000000000000E+000	1.0000371E+005	6.0412811E+001	7.5132661E+000	6.0878216E+001	-7.0892153E+000
3.145852802873997E+002	2.000000000000000E+000	6.8132047E+004	6.1466045E+001	1.1002002E+001	6.2442924E+001	-1.0148087E+001
3.150192788412969E+002	2.000000000000000E+000	4.6420355E+004	6.2755657E+001	1.5321563E+001	6.4598938E+001	-1.3720149E+001
3.154532686752791E+002	2.000000000000000E+000	3.1621139E+004	6.4231285E+001	2.1046101E+001	6.7591393E+001	-1.8141962E+001
3.158872926692420E+002	2.000000000000000E+000	2.1544684E+004	6.5995377E+001	2.9016502E+001	7.2092628E+001	-2.3733881E+001
3.163212917298370E+002	2.000000000000000E+000	1.4678594E+004	6.7920746E+001	4.0233120E+001	7.8942581E+001	-3.0640547E+001
3.166162852638226E+002	2.000000000000000E+000	1.0002226E+004	7.0402550E+001	5.6387165E+001	9.0199951E+001	-3.8692112E+001
3.169932943217282E+002	2.000000000000000E+000	6.8110674E+003	7.3703896E+001	7.9409363E+001	1.0834257E+002	-4.7134029E+001
3.174634992774663E+002	2.000000000000000E+000	4.6414854E+003	7.8342041E+001	1.1225678E+002	1.3689069E+002	-5.5089489E+001
3.179314591130242E+002	2.000000000000000E+000	3.1610117E+003	8.4806610E+001	1.5910509E+002	1.8029584E+002	-6.1941372E+001
3.183984999352106E+002	2.000000000000000E+000	2.1556899E+003	9.4471306E+001	2.2576584E+002	2.4473463E+002	-6.7293213E+001
3.188667575307773E+002	2.000000000000000E+000	1.4685898E+003	1.0695896E+002	3.1979620E+002	3.3720889E+002	-7.1506989E+001
3.195864750582987E+002	2.000000000000000E+000	1.0003202E+003	1.2709007E+002	4.5538586E+002	4.7278766E+002	-7.4406532E+001
6.214550710883050E+002	3.000000000000000E+000	1.0000186E+006	6.3047184E+001	-1.0165576E+001	6.3861462E+001	9.1594019E+000
6.218890776955814E+002	3.000000000000000E+000	6.8129269E+005	5.8005032E+001	-7.6818051E+000	5.8511486E+001	7.5439773E+000
6.223230696362152E+002	3.000000000000000E+000	4.6415716E+005	5.7546402E+001	-4.3078022E+000	5.7707413E+001	4.2810569E+000
6.227570738434733E+002	3.000000000000000E+000	3.1622997E+005	5.7393692E+001	-1.1738182E+000	5.7405693E+001	1.1716523E+000
6.231910711441014E+002	3.000000000000000E+000	2.1544686E+005	5.7640549E+001	1.6159073E+000	5.7663193E+001	-1.6058215E+000
6.236250767646998E+002	3.000000000000000E+000	1.4677664E+005	5.8158806E+001	4.4111857E+000	5.8325855E+001	-4.3374228E+000
6.240590636919660E+002	3.000000000000000E+000	1.0000371E+005	5.8975258E+001	7.3675170E+000	5.9433670E+001	-7.1208172E+000
