m_NaOH,5_m,5_x,15_m,15_x,25_m,25_x,35_m,35_x,45_m,45_x,55_m,55_x
0.0,5.038,0.0832,4.928,0.08153,4.977,0.08228,5.069,0.08368,5.253,0.08645,5.396,0.0886
0.01758,5.024,0.08297,4.912,0.08127,4.962,0.08203,5.055,0.08344,5.24,0.08623,5.383,0.08838
0.02852,5.013,0.08279,4.902,0.0811,4.953,0.08188,5.046,0.08329,5.232,0.0861,5.375,0.08824
0.05693,4.996,0.0825,4.876,0.08068,4.93,0.08149,5.024,0.08291,5.212,0.08575,5.354,0.08789
0.1447,4.932,0.08141,4.799,0.07938,4.859,0.08029,4.954,0.08175,5.149,0.08468,5.29,0.0868
0.279,4.835,0.07976,4.683,0.07745,4.751,0.07848,4.85,0.07999,5.053,0.08306,5.193,0.08516
0.8503,4.446,0.07312,4.226,0.06975,4.319,0.07118,4.427,0.07283,4.66,0.07637,4.798,0.07845
1.436,4.039,0.06623,3.805,0.06264,3.909,0.06424,4.025,0.06601,4.278,0.06987,4.417,0.07198
2.036,3.634,0.05941,3.414,0.05601,3.519,0.05763,3.642,0.05953,3.908,0.0636,4.05,0.06575
2.687,3.219,0.05241,3.025,0.04942,3.125,0.05096,3.259,0.05304,3.533,0.05723,3.677,0.05943
3.343,2.863,0.0464,2.664,0.04331,2.754,0.0447,2.905,0.04703,3.179,0.05125,3.325,0.05347
3.932,2.571,0.04146,2.363,0.03824,2.443,0.03948,2.612,0.0421,2.882,0.04624,3.027,0.04846
4.606,2.248,0.03604,2.048,0.03294,2.115,0.03399,2.308,0.03698,2.563,0.04089,2.708,0.0431
5.467,1.887,0.03002,1.7,0.02713,1.748,0.02788,1.971,0.03131,2.188,0.03464,2.332,0.03684
6.278,1.595,0.02516,1.45,0.02293,1.471,0.02325,1.711,0.02695,1.861,0.02923,2.012,0.03154
7.275,1.323,0.02064,1.203,0.0188,1.205,0.01884,1.408,0.02194,1.486,0.02312,1.669,0.02589
